Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
01051  DITHMARSCHEN;48.868;31.697;549;544;88;242;18
01053  HERZOGTUM LAUENBURG;75.800;39.371;1.165;926;196;320;13
01054  NORDFRIESLAND;61.129;40.041;733;782;230;554;35
01055  OSTHOLSTEIN;84.216;40.321;958;750;168;269;20
01056  PINNEBERG;120.945;52.537;1.242;2.024;357;479;29
01057  PLOEN;51.886;26.973;508;595;94;210;13
01058  RENDSBURG-ECKERNFOERDE;104.810;65.736;1.286;1.456;244;466;22
01059  SCHLESWIG-FLENSBURG;72.079;53.672;1.023;774;168;350;27
01060  SEGEBERG;108.455;55.792;1.341;1.677;330;505;31
01061  STEINBURG;51.295;28.751;666;538;91;169;16
01062  STORMARN;99.169;49.470;1.138;1.622;302;486;31
;1.073.801;580.492;12.853;14.988;2.898;4.927;309
16051  ERFURT, STADT;66.449;28.790;719;1.063;228;260;31
16052  GERA, STADT;32.770;12.196;323;451;48;47;12
16053  JENA, STADT;30.253;13.843;297;676;93;102;18
16054  SUHL, STADT;13.743;6.161;133;298;21;15;9
16055  WEIMAR, STADT;20.088;8.716;208;358;62;1.552;13
16056  EISENACH, STADT;15.097;5.851;145;225;32;35;10
16061  EICHSFELD;38.462;20.717;558;315;76;63;13
16062  NORDHAUSEN;32.946;13.544;302;288;52;71;11
16063  WARTBURGKREIS;50.000;22.735;587;483;67;91;25
16064  UNSTRUT-HAINICH-KREIS;38.543;17.263;425;467;88;69;11
16065  KYFFHAEUSERKREIS;30.985;12.882;265;208;27;33;17
16066  SCHMALKALDEN-MEININGEN;49.974;25.044;468;525;73;102;27
16067  GOTHA;52.286;22.588;493;529;83;195;32
16068  SOEMMERDA;27.340;12.501;275;208;42;43;12
16069  HILDBURGHAUSEN;25.254;13.571;226;222;22;30;17
16070  ILM-KREIS;39.430;18.291;423;476;59;171;16
16071  WEIMARER-LAND;32.615;14.915;328;409;64;74;12
16072  SONNEBERG;25.064;9.375;227;232;36;42;17
16073  SAALFELD-RUDOLSTADT;41.494;17.905;397;475;62;58;17
16074  SAALE-HOLZLANDKREIS;33.440;15.042;406;504;84;59;18
16075  SAALE-ORLA-KREIS;33.577;16.244;344;240;42;48;18
16076  GREIZ;41.185;18.136;435;475;50;47;18
16077  ALTENBURGER LAND;37.920;12.741;396;288;34;56;18
;808.915;359.051;8.380;9.415;1.445;3.263;392
;6.413;9.943;165;315;152;71;5
;31.464.680;15.111.382;453.670;539.383;102.175;136.617;10.245
