Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
01058  RENDSBURG-ECKERNFOERDE;103.384;64.742;1.398;969;154;297;17
01059  SCHLESWIG-FLENSBURG;71.695;52.170;1.108;496;101;239;25
01060  SEGEBERG;106.735;55.416;1.444;1.113;210;294;30
01061  STEINBURG;51.016;28.203;732;364;54;85;13
01062  STORMARN;98.073;49.378;1.223;1.072;184;271;36
;1.062.795;573.365;13.935;9.807;1.837;3.090;293
16051  ERFURT, STADT;66.551;28.654;779;726;172;159;32
16052  GERA, STADT;32.863;12.189;368;301;29;26;13
16053  JENA, STADT;30.319;13.796;337;461;58;79;20
16054  SUHL, STADT;13.866;6.174;141;223;12;11;9
16055  WEIMAR, STADT;19.887;8.662;216;260;49;38;11
16056  EISENACH, STADT;15.448;5.876;169;160;19;23;10
16061  EICHSFELD;38.640;20.380;628;193;58;41;14
16062  NORDHAUSEN;33.230;13.279;378;166;28;60;11
16063  WARTBURGKREIS;50.034;22.486;629;314;42;57;22
16064  UNSTRUT-HAINICH-KREIS;38.749;17.014;487;310;53;48;10
16065  KYFFHAEUSERKREIS;31.272;12.644;305;125;18;20;19
16066  SCHMALKALDEN-MEININGEN;50.153;24.928;508;354;50;73;29
16067  GOTHA;52.567;22.120;564;351;63;101;34
16068  SOEMMERDA;27.466;12.253;311;128;23;23;13
16069  HILDBURGHAUSEN;25.356;13.476;260;150;12;15;18
16070  ILM-KREIS;39.409;18.133;465;290;38;158;19
16071  WEIMARER-LAND;32.618;14.751;369;251;34;45;11
16072  SONNEBERG;24.938;9.386;251;154;27;29;14
16073  SAALFELD-RUDOLSTADT;41.610;17.795;434;308;36;39;18
16074  SAALE-HOLZLANDKREIS;33.522;14.962;449;333;51;35;19
16075  SAALE-ORLA-KREIS;33.773;15.944;393;143;28;32;19
16076  GREIZ;41.612;17.927;482;315;33;35;19
16077  ALTENBURGER LAND;38.057;12.601;433;177;24;42;20
;811.940;355.430;9.356;6.193;957;1.189;404
;7.063;10.415;211;185;102;50;5
;31.031.021;15.153.364;476.368;341.411;66.997;83.175;10.445
