Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
13073  VORPOMMERN-RUEGEN;81.150;40.689;762;1.798;313;368;18
13074  NORDWESTMECKLENBURG;57.880;31.281;842;1.057;216;284;44
13075  VORPOMMERN-GREIFSWALD;84.657;38.596;827;1.820;288;595;54
13076  LUDWIGSLUST-PARCHIM;80.082;46.456;1.126;1.320;214;273;302
;566.842;287.817;6.371;12.599;2.318;2.671;21
03101  BRAUNSCHWEIG,STADT;88.121;46.923;1.288;3.855;1.413;2.725;7
03102  SALZGITTER,STADT;36.865;18.010;702;660;167;182;5
03103  WOLFSBURG,STADT;75.938;42.950;529;9.203;5.580;9.495;13
03151  GIFHORN;66.458;39.809;989;1.332;340;642;12
03153  GOSLAR;53.253;25.359;699;1.164;290;305;5
03154  HELMSTEDT;35.840;18.989;536;639;217;358;20
03155  NORTHEIM;58.119;27.981;762;1.039;321;410;11
03157  PEINE;56.772;26.477;1.062;931;321;448;15
03158  WOLFENBUETTEL;50.284;23.187;791;909;234;462;27
03159  GÖTTINGEN;121.816;57.823;1.598;2.961;819;973;136
;643.466;327.508;8.956;22.693;9.702;16.000;133
03241  HANNOVER;394.736;176.009;5.982;11.579;3.230;3.616;34
03251  DIEPHOLZ;90.995;47.188;1.415;2.273;561;690;17
03252  HAMELN-PYRMONT;63.658;26.683;921;1.325;365;504;26
03254  HILDESHEIM;110.689;47.197;1.458;2.360;618;811;8
03255  HOLZMINDEN;30.675;13.579;505;456;136;165;17
03256  NIENBURG(WESER);48.845;26.784;977;1.281;268;469;21
03257  SCHAUMBURG;69.531;29.898;1.169;1.454;307;599;256
;809.129;367.338;12.427;20.728;5.485;6.854;24
03351  CELLE;70.151;37.830;1.038;1.479;454;466;25
03352  CUXHAVEN;79.379;43.998;1.567;1.774;391;422;40
03353  HARBURG;105.764;57.108;1.438;3.339;764;1.182;3
03354  LUECHOW-DANNENBERG;18.317;11.861;671;322;117;135;11
03355  LUENEBURG;65.848;36.463;907;1.786;574;710;15
03356  OSTERHOLZ;48.321;23.082;904;880;298;456;19
03357  ROTENBURG(WUEMME);63.956;46.753;1.168;1.639;407;541;10
03358  HEIDEKREIS;54.082;32.816;994;1.055;299;370;21
03359  STADE;80.482;42.630;987;2.179;525;679;7
03360  UELZEN;36.913;19.021;429;796;326;255;17
03361  VERDEN;55.584;29.316;862;1.243;337;419;192
;678.797;380.878;10.965;16.492;4.492;5.635;8
03401  DELMENHORST,STADT;29.178;11.875;510;938;189;167;4
03402  EMDEN,STADT;16.799;7.606;326;289;98;130;22
03403  OLDENBURG(OLDENB),STADT;55.561;30.434;1.325;1.960;710;569;12
03404  OSNABRUECK,STADT;54.885;27.577;911;2.269;652;642;10
03405  WILHELMSHAVEN,STADT;28.408;10.877;553;533;90;118;23
03451  AMMERLAND;49.335;29.419;1.040;996;297;419;14
03452  AURICH;74.317;40.393;2.009;1.213;345;582;12
03453  CLOPPENBURG;50.689;49.702;1.234;976;330;403;17
03454  EMSLAND;106.148;92.437;2.639;2.528;777;902;17
03455  FRIESLAND;42.289;22.389;1.079;916;297;301;12
03456  GRAFSCHAFT BENTHEIM;42.753;39.425;1.813;1.209;401;778;16
03457  LEER;62.549;38.947;1.834;1.046;324;459;20
03458  OLDENBURG(OLDENBURG);51.154;30.783;1.252;1.193;296;460;30
03459  OSNABRUECK;145.620;81.155;2.432;3.428;883;1.154;11
03460  VECHTA;47.664;38.947;785;1.388;436;447;12
03461  WESERMARSCH;33.138;19.305;899;564;124;211;4
03462  WITTMUND;22.695;12.906;599;387;79;115;244
;913.182;584.177;21.240;21.833;6.328;7.857;828
;3.044.574;1.659.901;53.588;81.746;26.007;36.346;64
05111  DUESSELDORF, STADT;195.542;103.782;3.232;12.525;4.540;2.435;42
05112  DUISBURG,STADT;167.097;57.760;4.968;4.117;987;727;46
05113  ESSEN,STADT;211.541;70.384;4.414;7.694;2.647;1.659;17
05114  KREFELD,STADT;83.477;31.860;2.224;2.492;758;677;27
05116  MOENCHENGLADBACH,STADT;97.748;37.387;2.562;2.667;820;730;11
05117  MUELHEIM A.D.RUHR,STADT;69.598;21.803;1.213;2.148;650;559;14
05119  OBERHAUSEN,STADT;84.095;24.606;1.950;1.945;472;404;8
05120  REMSCHEID,STADT;45.096;15.842;696;1.390;410;304;15
05122  SOLINGEN,STADT;68.141;23.002;1.220;3.532;654;743;42
05124  WUPPERTAL,STADT;124.537;44.751;2.295;4.089;1.185;1.044;31
05154  KLEVE;116.308;71.531;5.748;2.932;867;929;36
05158  METTMANN;205.275;81.065;3.439;7.672;2.138;1.995;53
05162  NEUSS;189.599;75.933;3.559;6.159;1.650;1.603;41
05166  VIERSEN;127.518;55.553;4.534;2.726;774;1.199;37
05170  WESEL;198.315;79.909;6.320;5.027;1.330;1.601;484
